timestamp,stock,price,volume,bid_price,ask_price,spread
2025-03-26 09:00:00,XYZ,188.1,8071,187.71,188.96,1.25
2025-03-26 09:00:01,XYZ,188.94,1938,188.8,189.73,0.93
2025-03-26 09:00:02,XYZ,104.29,3117,103.33,105.05,1.72
2025-03-26 09:00:03,XYZ,103.67,4572,103.42,103.87,0.45
2025-03-26 09:00:04,XYZ,139.95,7827,139.68,140.79,1.11
2025-03-26 09:00:05,XYZ,174.41,4713,173.52,175.25,1.73
2025-03-26 09:00:06,XYZ,155.64,9235,154.71,156.04,1.33
2025-03-26 09:00:07,XYZ,140.12,1077,139.42,140.46,1.04
2025-03-26 09:00:08,XYZ,117.25,6412,117.08,117.43,0.35
2025-03-26 09:00:09,XYZ,167.29,6030,166.56,167.55,0.99
2025-03-26 09:00:10,XYZ,100.74,2114,100.63,101.18,0.55
2025-03-26 09:00:11,XYZ,114.71,2212,113.87,115.54,1.67
2025-03-26 09:00:12,XYZ,115.04,8291,114.8,115.67,0.87
2025-03-26 09:00:13,XYZ,186.23,700,185.41,187.12,1.71
2025-03-26 09:00:14,XYZ,132.63,5048,132.3,133.59,1.29
2025-03-26 09:00:15,XYZ,169.73,1670,168.86,170.44,1.58
2025-03-26 09:00:16,XYZ,142.71,7683,142.48,143.3,0.82
2025-03-26 09:00:17,XYZ,117.44,5940,117.19,117.88,0.69
2025-03-26 09:00:18,XYZ,163.38,6378,163.25,164.3,1.05
2025-03-26 09:00:19,XYZ,138.37,801,138.08,138.58,0.5
2025-03-26 09:00:20,XYZ,118.31,5120,117.64,119.04,1.4
2025-03-26 09:00:21,XYZ,104.75,6714,104.32,104.98,0.66
2025-03-26 09:00:22,XYZ,185.1,649,184.69,185.92,1.23
2025-03-26 09:00:23,XYZ,116.37,2410,115.5,117.34,1.84
2025-03-26 09:00:24,XYZ,122.12,7720,121.21,122.25,1.04
2025-03-26 09:00:25,XYZ,127.23,2567,126.97,127.43,0.46
2025-03-26 09:00:26,XYZ,116.32,504,115.38,117.3,1.92
2025-03-26 09:00:27,XYZ,103.74,4597,103.35,103.85,0.5
2025-03-26 09:00:28,XYZ,176.26,5470,175.47,176.86,1.39
2025-03-26 09:00:29,XYZ,142.78,4555,142.19,143.57,1.38
2025-03-26 09:00:30,XYZ,149.26,802,149.14,149.88,0.74
2025-03-26 09:00:31,XYZ,131.21,2980,130.43,131.33,0.9
2025-03-26 09:00:32,XYZ,110.93,3400,110.23,111.85,1.62
2025-03-26 09:00:33,XYZ,105.57,9750,104.83,105.87,1.04
2025-03-26 09:00:34,XYZ,152.8,871,152.5,152.99,0.49
2025-03-26 09:00:35,XYZ,179.35,6598,179.19,180.0,0.81
2025-03-26 09:00:36,XYZ,153.39,5881,152.69,154.03,1.34
2025-03-26 09:00:37,XYZ,127.32,8060,126.79,127.48,0.69
2025-03-26 09:00:38,XYZ,161.63,9413,160.74,161.78,1.04
2025-03-26 09:00:39,XYZ,123.25,2028,122.57,124.02,1.45
2025-03-26 09:00:40,XYZ,120.52,3644,119.69,121.3,1.61
2025-03-26 09:00:41,XYZ,107.28,4780,106.37,108.27,1.9
2025-03-26 09:00:42,XYZ,150.88,954,150.11,151.35,1.24
2025-03-26 09:00:43,XYZ,175.15,3982,174.52,175.26,0.74
2025-03-26 09:00:44,XYZ,199.56,1181,199.27,199.78,0.51
2025-03-26 09:00:45,XYZ,138.67,6866,138.1,139.08,0.98
2025-03-26 09:00:46,XYZ,172.27,310,171.74,172.5,0.76
2025-03-26 09:00:47,XYZ,174.65,1664,174.26,175.01,0.75
2025-03-26 09:00:48,XYZ,123.26,5991,122.39,123.81,1.42
2025-03-26 09:00:49,XYZ,140.84,8570,140.51,141.52,1.01
2025-03-26 09:00:50,XYZ,147.31,8438,146.61,148.17,1.56
2025-03-26 09:00:51,XYZ,152.91,8933,151.94,153.11,1.17
2025-03-26 09:00:52,XYZ,159.0,3043,158.42,159.34,0.92
2025-03-26 09:00:53,XYZ,179.54,8266,179.28,180.19,0.91
2025-03-26 09:00:54,XYZ,101.53,8560,100.91,102.0,1.09
2025-03-26 09:00:55,XYZ,143.16,5964,142.77,144.14,1.37
2025-03-26 09:00:56,XYZ,150.0,8822,149.71,150.39,0.68
2025-03-26 09:00:57,XYZ,177.19,7582,176.75,177.94,1.19
2025-03-26 09:00:58,XYZ,161.86,6404,161.52,162.76,1.24
2025-03-26 09:00:59,XYZ,143.52,3599,142.73,144.15,1.42
